"Part";"Value";"Device";"Package";"Description";"DATASHEET_LINK";"LED_COLOR";"MANUFACTURER";"MANUFACTURER_PN";"PACKAGE";"SUPPLIER";"SUPPLIER_PN";
"C35";"2.2uF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C36";"2.2uF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"D1";"GREEN";"LTL-533-11";"LED,THRU-HOLE,R/A";"LED, thru-hole, R/A, green";"http://optoelectronics.liteon.com/upload/download/DS-20-92-0410/S_110_LTL-533-11.pdf";"Green";"Lite-On";"LTL-533-11";"Through-hole LED, R/A";"Digi-Key";"160-1977-ND";
"D2";"YELLOW";"LTL-553-11";"LED,THRU-HOLE,R/A";"LED, thru-hole, R/A, yellow";"http://optoelectronics.liteon.com/upload/download/DS-20-92-0410/S_110_LTL-533-11.pdf";"Yellow";"Lite-On";"LTL-553-11";"Through-hole LED, R/A";"Digi-Key";"160-1978-ND";
"D3";"YELLOW";"LTL-553-11";"LED,THRU-HOLE,R/A";"LED, thru-hole, R/A, yellow";"http://optoelectronics.liteon.com/upload/download/DS-20-92-0410/S_110_LTL-533-11.pdf";"Yellow";"Lite-On";"LTL-553-11";"Through-hole LED, R/A";"Digi-Key";"160-1978-ND";
"D4";"RED";"LTL-523-11";"LED,THRU-HOLE,R/A";"LED, thru-hole, R/A, red";"http://optoelectronics.liteon.com/upload/download/DS-20-92-0410/S_110_LTL-533-11.pdf";"Red";"Lite-On";"LTL-523-11";"Through-hole LED, R/A";"Digi-Key";"160-1976-ND";
"D5";"RED";"LTL-523-11";"LED,THRU-HOLE,R/A";"LED, thru-hole, R/A, red";"http://optoelectronics.liteon.com/upload/download/DS-20-92-0410/S_110_LTL-533-11.pdf";"Red";"Lite-On";"LTL-523-11";"Through-hole LED, R/A";"Digi-Key";"160-1976-ND";
"J1";"PWMH";"PINHD-1X10";"1X10";"PIN HEADER";"http://www.joeknowselectronics.com/index.php/products/headers.html";"";"Joe Knows Electronics";"n/a";"1X10 Header Pin";"Joe Knows Electronics";"n/a";
"J2";"PWMI";"PINHD-1X8";"1X08";"PIN HEADER";"http://www.joeknowselectronics.com/index.php/products/headers.html";"";"Joe Knows Electronics";"n/a";"1X8 Header Pin";"Joe Knows Electronics";"n/a";
"J3";"COMM";"PINHD-1X8";"1X08";"PIN HEADER";"http://www.joeknowselectronics.com/index.php/products/headers.html";"";"Joe Knows Electronics";"n/a";"1X8 Header Pin";"Joe Knows Electronics";"n/a";
"J4";"PWR";"PINHD-1X8";"1X08";"PIN HEADER";"http://www.joeknowselectronics.com/index.php/products/headers.html";"";"Joe Knows Electronics";"n/a";"1X8 Header Pin";"Joe Knows Electronics";"n/a";
"J5";"ADCL";"PINHD-1X8";"1X08";"PIN HEADER";"http://www.joeknowselectronics.com/index.php/products/headers.html";"";"Joe Knows Electronics";"n/a";"1X8 Header Pin";"Joe Knows Electronics";"n/a";
"J6";"ADCH";"PINHD-1X8";"1X08";"PIN HEADER";"http://www.joeknowselectronics.com/index.php/products/headers.html";"";"Joe Knows Electronics";"n/a";"1X8 Header Pin";"Joe Knows Electronics";"n/a";
"J7";"AMPSEAL-23POS-HEADER";"AMPSEAL-23POS-HEADER";"AMPSEAL-HEADER-23POS-RA";"23 position male header, wire-to-board, sealing connector";"http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=776087&DocType=Customer+Drawing&DocLang=English";"";"TE Connectivity";"776087-1";"AMPSEAL-HEADER-23POS-RA";"Digi-Key";"A107007-ND";
"J8";"SPI";"PINHD-2X3";"2X03";"PIN HEADER";"http://www.joeknowselectronics.com/index.php/products/headers.html";"";"Joe Knows Electronics";"n/a";"2X03 Header Pin";"Joe Knows Electronics";"n/a";
"J9";"MOLEX-85505-5002";"MOLEX-85505-5002";"85505-5002";"RJ45 Connector, Through-hole, Shielded, Right-angle";"http://www.molex.com/pdm_docs/sd/855055002_sd.pdf";"";"Molx";"855055002";"RJ45, Thru-hole, Shielded, R/A";"Digi-Key";"WM7131CT-ND";
"J10";"MOLEX-85505-5002";"MOLEX-85505-5002";"85505-5002";"RJ45 Connector, Through-hole, Shielded, Right-angle";"http://www.molex.com/pdm_docs/sd/855055002_sd.pdf";"";"Molx";"855055002";"RJ45, Thru-hole, Shielded, R/A";"Digi-Key";"WM7131CT-ND";
"JP1";"SPR_IN1";"PINHD-1X1";"1X01";"PIN HEADER";"http://www.joeknowselectronics.com/index.php/products/headers.html";"";"Joe Knows Electronics";"n/a";"1X1 Header Pin";"Joe Knows Electronics";"n/a";
"JP2";"SPR_IN2";"PINHD-1X1";"1X01";"PIN HEADER";"http://www.joeknowselectronics.com/index.php/products/headers.html";"";"Joe Knows Electronics";"n/a";"1X1 Header Pin";"Joe Knows Electronics";"n/a";
